"IF YOU HAVE A COURSE THAT YOU CAN NOT FIND THE SYLLABUS FOR, PLEASE ADD IT TO THE OTHER SHEET",,,,,,,,,,,,,,,,,,,,
,BLUE - UD,ORANGE - UT,RED - UWM,,,,,,,,,,,,,,,,,
,FEATURES,,,,,,,,,,,,OUTPUTS (% Of Students in Each Bucket),,,,,,"""Average Grade""","*the average grade in the class is estimated by assuming A to be a 95, B is an 85, C is 75, D is a 65, and F is a 30"
Course Code,# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams,Exam Weight,# Quizzes,Quiz Weight,Attend/Misc Weight,TOTAL SUM (CHECK THAT IT'S 1),Class F,Class D,Class C,Class B,Class A,TOTAL SUM % (CHECK THAT IT'S 100%),,
ME335 - 18F,12,0.10,3,0.15,1,0.25,2,0.40,12,0.05,0.05,1.00,0.00,1.17,28.24,2.35,68.24,100.00,88.77,
ME310T - 19S Matthews Sec 17420,12,0.20,0,0.00,1,0.35,3,0.45,0,0.00,0.00,1.00,0.70,0.00,6.29,13.99,79.02,100.00,91.89,
ME314D - 19S Sagers Sec 17445/50/55,0,0.00,0,0.00,1,0.30,2,0.50,12,0.20,0.00,1.00,1.15,3.45,25.29,37.93,32.18,100.00,84.37,
ME316T - 19S Hall Sec 17485/80/75/70,11,0.10,0,0.00,1,0.30,3,0.50,9,0.10,0.00,1.00,3.08,6.15,24.62,28.46,37.69,100.00,83.38,
ME318M - 19S Bryant Sec 17490/500/10/15/20/25,21,0.40,0,0.00,0,0.00,3,0.55,0,0.00,0.05,1.00,0.76,0.00,12.88,25.76,60.61,100.00,89.36,
ME330 - 19S Bahadur Sec 17575,9,0.10,0,0.00,1,0.40,2,0.45,0,0.00,0.05,1.00,4.35,2.17,13.04,30.43,50.00,100.00,85.87,
ME335 - 19S Bickel Sec 17795/90/85/80/75/70,12,0.10,3,0.15,1,0.25,2,0.40,12,0.05,0.05,1.00,0.67,2.67,14.00,45.33,37.33,100.00,86.43,
ME318M - 19S Langsfeld Sec 17590/85/80/75,21,0.40,0,0.00,0,0.00,3,0.55,0,0.00,0.05,1.00,1.28,0.00,1.28,8.97,88.46,100.00,93.01,
ME310T - 20S,12,0.15,0,0.00,1,0.35,3,0.45,0,0.00,0.05,1.00,0.00,0.00,5.05,36.36,58.59,100.00,90.35,
ME340 - 22F - ALAMBEIGI,10,0.15,0,0.00,1,0.30,2,0.40,3,0.15,0.00,1.00,0.00,0.00,2.53,16.46,81.01,100.00,92.85,
ME240 - 22F - W. LI,10,0.10,0,0.00,1,0.35,2,0.40,4,0.10,0.05,1.00,0.00,0.00,2.38,57.14,40.48,100.00,88.81,
ME333T - 22F,38,0.49,2,0.51,0,0.00,0,0.00,0,0.00,0.00,1.00,2.27,2.27,9.09,15.92,70.45,100.00,89.43,
ME338 - 22F,6,0.15,2,0.25,0,0.00,3,0.60,0,0.00,0.00,1.00,0.78,0.00,14.06,40.63,44.53,100.00,87.62,
ME369P - 22F,5,0.30,4,0.45,0,0.00,0,0.00,4,0.15,0.10,1.00,0.00,0.00,4.55,36.36,59.09,100.00,90.45,
ME359 - 22F,0,0.00,3,1.00,0,0.00,0,0.00,0,0.00,0.00,1.00,0.00,7.69,23.08,38.46,30.77,100.00,84.23,
ME379M - 22F - IYOOB,12,0.20,1,0.35,0,0.00,0,0.00,2,0.40,0.05,1.00,0.00,0.00,0.00,26.47,73.53,100.00,92.35,
ME379M - 22F,4,0.40,1,0.20,0,0.00,2,0.40,0,0.00,0.00,1.00,0.00,0.00,0.00,14.29,85.71,100.00,93.57,
ME367S - 22S,12,0.20,1,0.30,0,0.00,2,0.50,0,0.00,0.00,1.00,0.00,0.00,6.67,33.33,60.00,100.00,90.33,
ME334 - 23 Summer,12,0.15,0,0.00,1,0.20,3,0.60,21,0.05,0.00,1.00,0.00,0.00,7.14,42.86,50.00,100.00,89.29,
ME353 - 23F,14,0.20,1,0.10,1,0.30,2,0.35,0,0.00,0.05,1.00,0.00,0.60,7.78,46.11,45.51,100.00,88.65,
ME350R - 23F,13,0.20,3,0.55,0,0.00,3,0.20,30,0.05,0.00,1.00,3.85,3.85,0.00,42.30,50.00,100.00,87.11,
ME310T - 24S,8,0.14,0,0.00,1,0.25,3,0.45,0,0.00,0.16,1.00,6.14,2.63,18.42,21.93,50.88,100.00,84.34,
ME330 - 24S,12,0.05,0,0.00,1,0.30,3,0.55,15,0.10,0.00,1.00,1.68,1.68,33.62,31.93,31.09,100.00,83.49,
ME337G - 24S,9,0.27,5,0.49,0,0.00,0,0.00,5,0.15,0.09,1.00,0.00,0.00,9.37,28.13,62.50,100.00,90.31,
ME339 - 24S - LI SHI,11,0.20,0,0.00,1,0.40,2,0.40,0,0.00,0.00,1.00,0.00,1.03,40.21,23.71,35.05,100.00,84.28,
ME353 - 24S,12,0.15,3,0.15,1,0.25,3,0.40,15,0.05,0.00,1.00,0.86,0.00,4.31,43.97,50.86,100.00,89.18,
ME350R - 24S,13,0.20,5,0.50,0,0.00,3,0.20,30,0.10,0.00,1.00,0.00,1.85,3.70,24.07,70.38,100.00,91.30,
ME 240 - F17 Dynamics,13,0.10,0,0.00,1,0.25,2,0.50,11,0.10,0.05,1.00,0.80,3.40,6.60,32.20,57.00,100.00,88.92,
ME 361 - F17 Thermodynamics - 001,9,0.30,1,0.15,1,0.20,2,0.35,0,0.00,0.00,1.00,2.28,13.58,13.58,29.58,40.98,100.00,83.77,
ME 361 - F17 Thermodynamics - 002,9,0.30,1,0.15,1,0.20,2,0.35,0,0.00,0.00,1.00,0.40,10.40,14.40,44.40,30.40,100.00,84.30,
ME 361 - F17 Thermodynamics - 003,9,0.30,1,0.15,1,0.20,2,0.35,0,0.00,0.00,1.00,0.02,6.92,13.82,37.92,41.32,100.00,86.36,
END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,
UWM & UT LINKS:,,,,,,,,,,,,,,,,,,,,
https://registrar.wisc.edu/grade-reports/?utm_source=chatgpt.com,,,,,,,,,,,,,,,,,,,,
https://reports.utexas.edu/spotlight-data/ut-course-grade-distributions,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYLLABUS FINDER FOR UTEXAS,,,,,,,,,,,,,,,,,,,,
https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/?year=2016&semester=2&department=M+E&course_number=&course_title=Dynamics&unique=&instructor_first=&instructor_last=&course_type=In+Residence&search=Search,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MEEG210 - 23F - Statics,10,0.10,6,0.10,1,0.25,3,0.45,13,0.10,0.00,1.00,6.66,8.67,19.33,30.67,34.67,100.00,81.14,
MATH C4 - MADHUKA,38,0.10,0,0.00,1,0.25,2,0.36,10,0.24,0.05,1.00,13.33,15.00,30.00,23.34,18.33,100.00,73.50,
ME364L - 18F Masada Sec 18345,6,0.15,0,0.00,1,0.35,0,0.00,2,0.50,0.00,1.00,11.11,0.00,11.11,22.22,55.56,100.00,83.33,
